# YTID, start_seconds, end_seconds, positive_labels,label_count,label_names
-1Hub6Ps_cc,10.0,20.0,"/m/0130jx,/m/02jz0l,/m/09x0r,/m/0k65p,/t/dd00125",5,"Sink (filling or washing)|Water tap, faucet|Speech|Hands|Inside, small room"
-1II0Di9Hkc,30.0,40.0,"/m/04rlf,/m/06bz3",2,Music|Radio
-1LQP2wemiQ,30.0,40.0,"/m/02fs_r,/m/02zsn,/m/09x0r",3,"Beep, bleep|Female speech, woman speaking|Speech"
-1OlgJWehn8,30.0,40.0,"/m/04rlf,/m/06bz3",2,Music|Radio
-1PZQg5Gi8A,30.0,40.0,/m/07pjjrj,1,"Smash, crash"
-1UWSisR2zo,30.0,40.0,"/m/04rlf,/m/0xzly",2,Music|Maraca
-1hDIl9Udkw,30.0,40.0,"/m/04rlf,/m/07qn4z3,/m/09x0r",3,Music|Rattle|Speech
-1nilez17Dg,30.0,40.0,"/m/01jg1z,/m/09x0r",2,Heart murmur|Speech
-1pPw9zZopA,190.0,200.0,"/m/01jt3m,/m/0838f",2,Toilet flush|Water
-1pRmoJIGQc,10.0,20.0,"/m/01h82_,/m/02mk9,/m/07pb8fc",3,Engine knocking|Engine|Idling
-21_SXelVNo,30.0,40.0,"/m/07ppn3j,/m/09x0r",2,Sniff|Speech
-22tna7KHzI,28.0,38.0,/m/014zdl,1,Explosion
-23CeprtibU,30.0,40.0,/m/01j4z9,1,Chainsaw
-2EKWgTNEYU,30.0,40.0,/m/06bz3,1,Radio
-2RPPODqLy4,30.0,40.0,"/m/01glhc,/m/0342h,/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r,/m/0fx80y",7,Tapping (guitar technique)|Guitar|Acoustic guitar|Music|Strum|Speech|Plucked string instrument
-2sE5CH8Wb8,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9",3,Reversing beeps|Truck|Vehicle
-2xiZDEuHd8,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00018",3,Music|Speech|Oink
-3-4qmWSJXU,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038",4,Rain|Thunderstorm|Thunder|Rain on surface
-3-JjN3BXjA,90.0,100.0,"/m/09x0r,/t/dd00013",2,Speech|Children playing
-36qTeAdDMI,130.0,140.0,"/m/07cx4,/m/09x0r,/t/dd00125",3,"Telephone|Speech|Inside, small room"
-3Kv4fdm7Uk,30.0,40.0,"/m/04rlf,/m/04szw,/m/0l156b",3,Music|Musical instrument|Steelpan
-3YWuPXHknk,30.0,40.0,"/m/02mk9,/t/dd00130",2,Engine|Engine starting
-3nXxwBlX5A,20.0,30.0,/m/04wptg,1,Wedding music
-3nyUrKWFEE,210.0,220.0,"/m/06hck5,/m/06wzb",2,Steam whistle|Steam
-3rHVsIj1M8,30.0,40.0,"/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092",4,"Boat, Water vehicle|Wind|Ship|Wind noise (microphone)"
-3z5mFRgbxc,30.0,40.0,"/m/01bjv,/m/07yv9,/m/09x0r,/m/0btp2",4,"Bus|Vehicle|Speech|Traffic noise, roadway noise"
-47nPCeukVc,1.0,11.0,"/m/07yv9,/m/0gvgw0",2,Vehicle|Air brake
-4SYC2YgzL8,30.0,40.0,"/m/04rlf,/m/04wptg,/m/0ggq0m",3,Music|Wedding music|Classical music
-4kkGS4-qVM,10.0,20.0,"/m/01wy6,/m/085jw,/m/0l14l2",3,"Clarinet|Wind instrument, woodwind instrument|Shofar"
-4pmCrSdMhg,30.0,40.0,"/m/04rlf,/m/07rv9rh,/m/09x0r",3,Music|Clip-clop|Speech
-4viN_EoxOA,0.0,10.0,"/m/01kcd,/m/06ncr",2,Brass instrument|Saxophone
-53zl3bPmpM,210.0,220.0,"/m/04rlf,/m/07pws3f,/m/09x0r",3,Music|Bang|Speech
-5CGQGSFGyg,60.0,70.0,"/m/013y1f,/m/01s0ps,/m/03xq_f,/m/05148p4,/m/05r5c",5,Organ|Electric piano|Electronic organ|Keyboard (musical)|Piano
-5FoeegAgvU,230.0,240.0,"/m/04rlf,/m/07rrh0c",2,Music|Thunk
-5PZ_Bh-M6o,180.0,190.0,/m/01jg02,1,"Heart sounds, heartbeat"
-65CfQUX9Ng,10.0,20.0,/m/07prgkl,1,Pour
-6Aq2fJwlgU,510.0,520.0,"/m/07pjjrj,/m/07rdhzs",2,"Smash, crash|Whack, thwack"
-6GcdDStIwM,21.0,31.0,"/m/08j51y,/m/0c1dj",2,"Dental drill, dentist's drill|Sound effect"
-6HBGg1cAI0,30.0,40.0,"/m/02p0sh1,/m/04rlf,/m/06j64v",3,Traditional music|Music|Middle Eastern music
-6JnAxTXApw,30.0,40.0,/m/0chx_,1,White noise
-6cTEqIcics,30.0,40.0,"/m/03kmc9,/m/0dgbq",2,Siren|Civil defense siren
-7B9tPuIP-w,450.0,460.0,"/m/0155w,/m/04rlf,/m/07sr1lc",3,Blues|Music|Yell
-7IhwezUrUA,590.0,600.0,/m/023pjk,1,"Cutlery, silverware"
-7TanrCbmME,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00005",3,Music|Speech|Child singing
-7XwGino_W0,30.0,40.0,/m/07qv4k0,1,Scrape
-7YESdyyHVw,10.0,20.0,/m/0239kh,1,Cowbell
-7eDqv-6AKQ,30.0,40.0,"/m/07yv9,/m/0gvgw0,/m/0k4j",3,Vehicle|Air brake|Car
-7vpNApSN8g,70.0,80.0,"/m/08j51y,/t/dd00125",2,"Dental drill, dentist's drill|Inside, small room"
-88me9bBzrk,30.0,40.0,"/m/015vgc,/m/04rlf",2,Carnatic music|Music
-8C-gydUbR8,30.0,40.0,"/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00005",4,Music|Male singing|Female singing|Child singing
-8Ds_ZrtQ9M,20.0,30.0,/m/02x984l,1,Mechanical fan
-8Mzg0pjOzc,30.0,40.0,"/m/04rlf,/m/08j51y,/m/09x0r",3,"Music|Dental drill, dentist's drill|Speech"
-8cgbhIR_pw,30.0,40.0,"/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y,/t/dd00034",7,"Acoustic guitar|Music|Musical instrument|Steel guitar, slide guitar|Strum|Plucked string instrument|Tender music"
-8pCMgGKZY8,12.0,22.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136",8,"Music|Domestic animals, pets|Yip|Bow-wow|Speech|Dog|Animal|Whimper (dog)"
-8s8gqSkRzI,30.0,40.0,/m/07s0dtb,1,Gasp
-95a1RB0jHs,30.0,40.0,"/m/014zdl,/m/07pxg6y",2,Explosion|Eruption
-98gqe2LWcg,14.0,24.0,"/m/04k94,/m/0dv3j",2,Liquid|Boiling
-9GUUhB3QV0,30.0,40.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",3,Emergency vehicle|Siren|Police car (siren)
-9O1cb8z7Mk,0.0,10.0,/m/02z32qm,1,Fusillade
-9byM5-ih2M,0.0,10.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136",9,"Cat|Domestic animals, pets|Meow|Yip|Bow-wow|Speech|Dog|Animal|Whimper (dog)"
-9mHz0OsKKw,0.0,10.0,"/m/07qv_d5,/m/07yv9,/m/0k4j,/t/dd00128",4,"Toot|Vehicle|Car|Outside, urban or manmade"
-9phJ0sJrXg,14.0,24.0,/t/dd00006,1,Synthetic singing
-A-Un_X21lU,230.0,240.0,"/m/01b82r,/m/07pdjhy,/m/083vt",3,Sawing|Rub|Wood
-A1o1Egi20c,60.0,70.0,/m/03w41f,1,Church bell
-A3zsFeU_OI,30.0,40.0,"/m/07s04w4,/m/09x0r",2,Snicker|Speech
-ABOfhcXwt8,17.0,27.0,"/m/06h7j,/m/09x0r",2,Run|Speech
-ANxUxvGASw,10.0,20.0,"/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c,/t/dd00048",6,"Subway, metro, underground|Railroad car, train wagon|Rail transport|Train|Clickety-clack|Train wheels squealing"
-AeiYb4vDK0,340.0,350.0,"/m/03cczk,/m/07pdhp0,/m/09x0r,/m/0jbk,/t/dd00129",5,"Chewing, mastication|Biting|Speech|Animal|Outside, rural or natural"
-Am9MfJ6Z2o,60.0,70.0,/m/023pjk,1,"Cutlery, silverware"
-BAF0DHMqVA,130.0,140.0,/m/0395lw,1,Bell
-BHPu-dPmWQ,30.0,40.0,"/m/04rlf,/t/dd00032",2,Music|Funny music
-BWhd7Q43tE,50.0,60.0,/m/012xff,1,Toothbrush
-BY64_p-vtM,30.0,40.0,"/m/07r04,/m/07yv9,/m/09x0r,/m/0fx9l",4,Truck|Vehicle|Speech|Microwave oven
-Bu7YaslRW0,30.0,40.0,"/m/025td0t,/m/02cjck,/m/04rlf",3,Background music|Theme music|Music
-Bx_-I7sB5k,160.0,170.0,"/m/04rlf,/m/09x0r,/m/0k65p,/t/dd00125",4,"Music|Speech|Hands|Inside, small room"
-By6I234TSs,10.0,20.0,"/m/04rlf,/m/07pt_g0,/m/0l14qv",3,Music|Pulse|Synthesizer
-ByoSbgzr4M,0.0,10.0,"/m/01glhc,/m/04rlf",2,Tapping (guitar technique)|Music
-COelgvUEW4,16.0,26.0,"/m/04rlf,/t/dd00004",2,Music|Female singing
-CXICIHCb6Y,30.0,40.0,"/m/07qcpgn,/m/09x0r",2,Tap|Speech
-CZ1LIc8aos,20.0,30.0,/t/dd00134,1,Car passing by
-Cdx8zogHI0,260.0,270.0,"/m/07pc8lb,/m/07rn7sz,/m/09x0r",3,Breaking|Shatter|Speech
-Cr0wim-lIQ,30.0,40.0,/m/0150b9,1,Change ringing (campanology)
-D--GWwca0g,130.0,140.0,"/m/04rlf,/m/07pxg6y,/m/09x0r",3,Music|Eruption|Speech
-DSNfC2EJhU,20.0,30.0,"/m/01jt3m,/m/0838f",2,Toilet flush|Water
-DnZ_ZY3lgA,160.0,170.0,/m/011k_j,1,Timpani
-E35OMfL4A4,3.0,13.0,"/m/04rlf,/m/04rmv",2,Music|Mouse
-EJM0iKMFuI,10.0,20.0,"/m/02_nn,/m/04rlf",2,Fart|Music
-EVRXQpt1-8,50.0,60.0,"/m/01swy6,/m/04rlf,/t/dd00126",3,"Yodeling|Music|Inside, large room or hall"
-EdnWQqlerc,320.0,330.0,/m/096m7z,1,Noise
-EgyhJoKuRU,20.0,30.0,/m/07pws3f,1,Bang
-EpiyDLPHzo,30.0,40.0,"/m/04rlf,/m/07lnk,/m/07s72n,/m/08cyft,/m/0ggx5q",5,Music|Trance music|Dubstep|Electronic dance music|Dance music
-F7sBonFvVw,40.0,50.0,/m/0dv3j,1,Boiling
-FITRqeXl9Q,30.0,40.0,"/m/01d3sd,/m/02yds9",2,Snoring|Purr
-FKrYTj_eCU,0.0,10.0,/m/03qc9zr,1,Screaming
-FoTxwPOz3U,0.0,10.0,"/m/0939n_,/m/09x0r,/m/0ytgt",3,"Gargling|Speech|Child speech, kid speaking"
-Fy2i3zpYdY,20.0,30.0,/m/07n_g,1,Tuning fork
-G04QpzSpbU,20.0,30.0,"/m/02yds9,/m/0ytgt",2,"Purr|Child speech, kid speaking"
-G3tJhsHtKU,0.0,10.0,/m/07qfgpx,1,"Jingle, tinkle"
-GVRoRILVD4,70.0,80.0,"/m/015lz1,/m/05lls",2,Singing|Opera
-Gf4Ihv1zwc,50.0,60.0,"/m/04rlf,/t/dd00034",2,Music|Tender music
-Gr9P8Abnlk,110.0,120.0,"/m/01jt3m,/m/0838f",2,Toilet flush|Water
-HAoExLVs6Q,380.0,390.0,"/m/01g50p,/m/06d_3,/m/07jdr,/t/dd00048",4,"Railroad car, train wagon|Rail transport|Train|Train wheels squealing"
-HKAgW-vzSI,30.0,40.0,"/m/08j51y,/m/09x0r",2,"Dental drill, dentist's drill|Speech"
-HWygXWSNRA,30.0,40.0,"/m/0k4j,/t/dd00066",2,Car|Medium engine (mid frequency)
-IKnJa9U66I,150.0,160.0,"/m/04rlf,/m/09x0r,/m/0llzx,/t/dd00065",4,Music|Speech|Sewing machine|Light engine (high frequency)
-IVxwkTcpp4,0.0,10.0,"/m/01hnzm,/m/04rlf",2,Ringtone|Music
-IZbvEO9wzU,30.0,40.0,"/m/04rlf,/t/dd00004,/t/dd00005",3,Music|Female singing|Child singing
-IeSZuZNhPw,40.0,50.0,"/m/02mk9,/m/07qn4z3,/m/07yv9",3,Engine|Rattle|Vehicle
-Igq1W20Gi8,0.0,10.0,/m/01w250,1,Whistling
-Irh7_N5Kjs,2.0,12.0,"/m/07q4ntr,/m/09x0r",2,Bellow|Speech
-IvJaK7HLtQ,30.0,40.0,"/m/015vgc,/m/01c194,/m/04rlf,/m/0jtg0",4,Carnatic music|Mantra|Music|Sitar
-JBH9j7-h8U,30.0,40.0,"/m/07qdb04,/m/09ddx,/m/0jbk",3,Quack|Duck|Animal
-JJmkQYZA-4,20.0,30.0,"/m/025rv6n,/m/07qn5dc,/m/09b5t",3,"Fowl|Crowing, cock-a-doodle-doo|Chicken, rooster"
-JUBdOr8Hes,30.0,40.0,/m/0mkg,1,Accordion
-JeVsIKuMIM,30.0,40.0,/m/07rgkc5,1,Static
-JlIkV1f_g4,380.0,390.0,"/m/01sm1g,/m/0l14md",2,Wood block|Percussion
-JvB5AL59fM,30.0,40.0,"/m/04rlf,/m/06j6l,/t/dd00031,/t/dd00035",4,Music|Rhythm and blues|Happy music|Exciting music
-JzMCtGCh4o,0.0,5.0,"/m/07st88b,/m/09ld4",2,Croak|Frog
-K1BRF6qng8,30.0,40.0,/t/dd00004,1,Female singing
-KA76yUSK44,240.0,250.0,"/m/01xqw,/m/02qmj0d,/m/05pd6,/m/07y_7,/m/0l14_3",5,"Cello|String section|Orchestra|Violin, fiddle|Bowed string instrument"
-KTabIWnPSg,21.0,31.0,"/m/04rlf,/m/06bxc,/t/dd00003",3,Music|Rapping|Male singing
-LRl10YdS-U,30.0,40.0,/m/07plct2,1,Crushing
-LU2f6iVRVg,20.0,30.0,"/m/05rj2,/m/09x0r",2,Shuffling cards|Speech
-LgxtcD700E,30.0,40.0,"/m/06bz3,/m/09x0r",2,Radio|Speech
-M6K3QoHh40,30.0,40.0,"/m/04rlf,/m/07qv_x_",2,Music|Shuffle
-M7ZNV6gLo0,310.0,320.0,"/m/07sx8x_,/m/09x0r",2,Squawk|Speech
-M7sMIJRQgg,30.0,40.0,/m/07qfgpx,1,"Jingle, tinkle"
-MaA9JUGSBI,18.0,28.0,/m/01hnzm,1,Ringtone
-MwKGVrPrmA,70.0,80.0,/m/0c2wf,1,Typewriter
-NRx0SBMjo0,24.0,34.0,"/m/07ptzwd,/m/0838f",2,Pump (liquid)|Water
-Nc_T1FvPx0,70.0,80.0,"/m/01jwx6,/m/02mk9,/m/07yv9",3,Vibration|Engine|Vehicle
-NrseuJrJ6k,30.0,40.0,"/m/09x0r,/m/0dv3j",2,Speech|Boiling
-OAyRsvFGgc,30.0,40.0,"/m/01glhc,/m/02sgy,/m/0342h,/m/03lty,/m/04rlf,/m/0g12c5",6,Tapping (guitar technique)|Electric guitar|Guitar|Heavy metal|Music|Distortion
-OMB-w3LPNY,190.0,200.0,"/m/04rlf,/m/07sr1lc,/t/dd00129",3,"Music|Yell|Outside, rural or natural"
-OUIEnuNd1I,30.0,40.0,"/m/04rlf,/m/04wptg",2,Music|Wedding music
-OVb-UG8yJw,30.0,40.0,"/m/02l6bg,/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/0k5j,/t/dd00067",7,"Propeller, airscrew|Engine|Idling|Accelerating, revving, vroom|Vehicle|Aircraft|Heavy engine (low frequency)"
-OeV4dPAQiw,30.0,40.0,"/m/04rlf,/m/068hy,/m/09x0r,/m/0jbk,/t/dd00136",5,"Music|Domestic animals, pets|Speech|Animal|Whimper (dog)"
-Opbeu2Y2yg,10.0,20.0,/m/07ppn3j,1,Sniff
-OytVyTEboM,25.0,35.0,"/m/0790c,/m/0c1dj",2,Sonar|Sound effect
-PVEno65928,30.0,40.0,"/m/03v3yw,/m/0btp2,/m/0k4j",3,"Keys jangling|Traffic noise, roadway noise|Car"
-PhYF7PbFew,150.0,160.0,/m/07pqc89,1,"Trickle, dribble"
-PyXfNxnHKs,110.0,120.0,"/m/023pjk,/m/04brg2",2,"Cutlery, silverware|Dishes, pots, and pans"
-Q9MTRXS4bE,30.0,40.0,"/m/024dl,/m/04rlf",2,Cash register|Music
-QX2Gv7J5gY,500.0,510.0,"/m/0642b4,/m/09x0r",2,Cupboard open or close|Speech
-Q_UXiwWR_c,30.0,40.0,/t/dd00134,1,Car passing by
-QsPqh8Kyrc,170.0,180.0,"/m/06h7j,/m/09x0r",2,Run|Speech
-QuWdnmn-kM,30.0,40.0,"/m/04rlf,/m/0fd3y",2,Music|Ambient music
-R4Vw5lNMPM,10.0,20.0,"/m/01kcd,/m/07c6l",2,Brass instrument|Trombone
-R8MAtu1vWY,20.0,30.0,/m/07ppn3j,1,Sniff
-RBs9pPhHY8,30.0,40.0,"/m/012ndj,/m/03j1ly,/m/03kmc9",3,"Fire engine, fire truck (siren)|Emergency vehicle|Siren"
-RKQEJbjXx0,30.0,40.0,/m/07pbtc8,1,"Walk, footsteps"
-RLILmQmubM,30.0,40.0,"/m/07s2xch,/m/09x0r",2,Groan|Speech
-RYtUAsNhF0,30.0,40.0,"/m/01jnbd,/m/02v2lh,/m/04rlf",3,Echo|New-age music|Music
-S-TDT5oq0Q,290.0,300.0,"/m/01xq0k1,/m/07rpkh9,/m/0ch8v",3,"Cattle, bovinae|Moo|Livestock, farm animals, working animals"
-S1mCXpSsvc,30.0,40.0,"/m/025wky1,/m/02mk9",2,Air conditioning|Engine
-SD43H5B5hE,520.0,530.0,"/m/01jg02,/m/01jg1z,/m/04rlf",3,"Heart sounds, heartbeat|Heart murmur|Music"
-SWaCArvQug,21.0,31.0,"/m/04rlf,/m/0fqfqc",2,Music|Drawer open or close
-Sd-j0rKeKw,30.0,40.0,"/m/07qz6j3,/m/09x0r",2,Whimper|Speech
-SmkiYKIhfs,180.0,190.0,"/m/01b82r,/m/083vt",2,Sawing|Wood
-StCvzCSVdA,570.0,580.0,/m/02_41,1,Fire
-T2MO0xBNwM,26.0,36.0,"/m/019jd,/m/02rlv9",2,"Boat, Water vehicle|Motorboat, speedboat"
-T3Td30k7hA,35.0,45.0,/m/07q0yl5,1,Snort
-TN-8OnbpPQ,170.0,180.0,"/m/08j51y,/m/09x0r",2,"Dental drill, dentist's drill|Speech"
-TxhuS0jsI4,70.0,80.0,"/m/07r4k75,/m/09x0r,/t/dd00129",3,"Grunt|Speech|Outside, rural or natural"
-U16iKiXGuY,30.0,40.0,"/m/03_d0,/m/04rlf",2,Jazz|Music
-U7agd00tIg,130.0,140.0,/m/04fgwm,1,Electric toothbrush
-U9jfwt03Gg,180.0,190.0,/m/07qc9xj,1,Clicking
-UFvq4-iS-Y,580.0,590.0,"/m/04rlf,/m/09x0r,/t/dd00013",3,Music|Speech|Children playing
-UKH_6moRZc,180.0,190.0,"/m/09x0r,/m/0fqfqc",2,Speech|Drawer open or close
-USpijVx_aI,200.0,210.0,"/m/0jb2l,/m/0ngt1",2,Thunderstorm|Thunder
-UTdhK0lwuw,30.0,40.0,"/m/0130jx,/m/02jz0l,/m/0838f",3,"Sink (filling or washing)|Water tap, faucet|Water"
-Umconw-CRE,30.0,40.0,"/m/0155w,/m/0342h,/m/04rlf",3,Blues|Guitar|Music
-UoPcgmbIkk,30.0,40.0,"/m/09x0r,/t/dd00088",2,Speech|Gush
-V9U5F14AVY,40.0,50.0,"/m/07ptzwd,/m/0838f",2,Pump (liquid)|Water
-VLOm8cJZRI,70.0,80.0,"/m/023pjk,/m/04brg2",2,"Cutlery, silverware|Dishes, pots, and pans"
-VasGrFLqW8,110.0,120.0,"/m/07r5v4s,/t/dd00125",2,"Drip|Inside, small room"
-Vo4CAMX26U,30.0,40.0,"/m/02bxd,/m/04rlf",2,Didgeridoo|Music
-Vt__PL1bgk,240.0,250.0,/m/02p01q,1,Filing (rasp)
-W4WT0zFV2Q,10.0,20.0,"/m/032s66,/m/04zjc",2,"Gunshot, gunfire|Machine gun"
-WDOQunQq5Q,90.0,100.0,/m/012xff,1,Toothbrush
-WGiNsWOczo,470.0,480.0,"/m/07rkbfh,/m/09x0r",2,Chatter|Speech
-WIDMrHskbI,350.0,360.0,"/m/0dwsp,/m/0dwtp,/m/0j45pbj",3,"Marimba, xylophone|Glockenspiel|Mallet percussion"
-WKYdeVL3_k,30.0,40.0,"/m/04rlf,/m/08j51y,/m/09x0r",3,"Music|Dental drill, dentist's drill|Speech"
-WXIhTodJ6M,30.0,40.0,"/m/04rlf,/m/0ggq0m",2,Music|Classical music
-Wd5YV97ftU,320.0,330.0,"/m/04rlf,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j,/m/0ltv",6,"Music|Skidding|Vehicle|Speech|Car|Race car, auto racing"
-WoudI3gGvk,30.0,40.0,/m/05x_td,1,"Air horn, truck horn"
-WvVG0wHcTc,310.0,320.0,"/m/015lz1,/m/01lyv,/m/0342h,/m/04rlf,/m/04wptg",5,Singing|Country|Guitar|Music|Wedding music
-X8J0l_ISNI,30.0,40.0,"/m/07pyf11,/m/0k5j",2,Flap|Aircraft
-XZBpMKRhok,10.0,20.0,"/m/02g901,/m/09x0r",2,"Electric shaver, electric razor|Speech"
-XilaFMUwng,50.0,60.0,"/m/015p6,/m/04s8yn",2,Bird|Crow
-XnPjiPiRAM,10.0,20.0,"/m/01p970,/m/026t6,/m/0l14md",3,Tabla|Drum|Percussion
-XwtCzUaN1I,160.0,170.0,"/m/01qbl,/m/03qtq",2,Cymbal|Hi-hat
-XxUW9gW6mc,60.0,70.0,"/m/03fwl,/m/09t49,/m/0ch8v,/m/0jbk",4,"Goat|Rustling leaves|Livestock, farm animals, working animals|Animal"
-Y-J_aNii3c,21.0,31.0,"/m/04rlf,/m/06h7j",2,Music|Run
-Y8sJDoL1YA,15.0,25.0,/m/0mbct,1,Gong
-YAyjUL7_xo,200.0,210.0,"/m/07p9k1k,/m/07ptfmf,/m/0dxrf",3,Sizzle|Stir|Frying (food)
-YIT4HBM__g,30.0,40.0,"/m/04rlf,/m/0y4f8,/m/0z9c",3,Music|Vocal music|A capella
-YRJHtktT1g,170.0,180.0,"/m/07qv_d5,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128",5,"Toot|Vehicle|Speech|Car|Outside, urban or manmade"
-YfaQljuwwA,30.0,40.0,/m/07rv9rh,1,Clip-clop
-Yk2eyBxCdQ,20.0,30.0,"/m/05zc1,/m/0l7xg,/t/dd00077",3,Pulleys|Gears|Mechanisms
-YwPSwhe2jo,30.0,40.0,"/m/04rlf,/m/07qv_x_,/m/09x0r",3,Music|Shuffle|Speech
-Z1ZSWDouUU,30.0,40.0,"/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092",4,"Boat, Water vehicle|Motorboat, speedboat|Wind|Wind noise (microphone)"
-Z8bjo6q6jc,70.0,80.0,"/m/032n05,/m/09x0r",2,Whale vocalization|Speech
-ZFQfWBmfdE,30.0,40.0,/m/07plct2,1,Crushing
-ZJqu_4zLMc,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk",6,"Cat|Domestic animals, pets|Meow|Caterwaul|Speech|Animal"
-ZlExzZRlF4,30.0,40.0,/m/02x984l,1,Mechanical fan
-ZsrCgzYPpQ,30.0,40.0,"/m/07rknqz,/m/07yv9,/m/0k4j",3,Skidding|Vehicle|Car
-_9xozPeXzk,30.0,40.0,"/m/02bm9n,/m/0l7xg,/t/dd00077",3,"Ratchet, pawl|Gears|Mechanisms"
-_HXiz8XnV0,580.0,590.0,"/m/04rlf,/m/07pc8lb,/m/09x0r,/t/dd00125",4,"Music|Breaking|Speech|Inside, small room"
-_QPd-VskKY,30.0,40.0,/m/04rmv,1,Mouse
-_UCboMO_xE,0.0,7.0,/m/07ryjzk,1,"Slap, smack"
-_f_ClsDxyc,80.0,90.0,"/m/01kcd,/m/01wy6,/m/07gql",3,Brass instrument|Clarinet|Trumpet
-a0drwQsrso,310.0,320.0,/m/02pjr4,1,Blender
-a8dC-A_xQE,120.0,130.0,"/m/04rlf,/m/07rkbfh,/m/09x0r",3,Music|Chatter|Speech
-aJYgmhyrvQ,190.0,200.0,"/m/07qlwh6,/m/09x0r",2,Squish|Speech
-aOxR6ILsw8,0.0,10.0,"/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00129,/t/dd00130",5,"Idling|Vehicle|Car|Outside, rural or natural|Engine starting"
-aRZT0PYhJU,140.0,150.0,"/m/023vsd,/m/083vt",2,Sanding|Wood
-aXWYfAdovc,230.0,240.0,"/m/01h3n,/m/03vt0,/m/0h2mp",3,"Bee, wasp, etc.|Insect|Fly, housefly"
-adm_P3xa0s,10.0,20.0,"/m/07phhsh,/m/07yv9,/m/09x0r",3,Rumble|Vehicle|Speech
-bGQrd947QE,50.0,60.0,"/m/06wzb,/m/07rjwbb",2,Steam|Hiss
-bJPDtT31p0,100.0,110.0,"/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md",7,Drum|Drum kit|Drum roll|Rimshot|Snare drum|Bass drum|Percussion
-bNJ9olw-OE,540.0,550.0,"/m/04fgwm,/m/09x0r,/t/dd00125",3,"Electric toothbrush|Speech|Inside, small room"
